"AU"	"TI"	"PY"	"DI"	"UT"
"Xue, G; He, QH; Lu, ZL; Levin, IP; Dong, Q; Bechara, A"	"Agency Modulates the Lateral and Medial Prefrontal Cortex Responses in Belief-Based Decision Making"	"2013"	"10.1371/journal.pone.0065274"	"WOS:000321099000051"
"Schaefer, M; Rotte, M; Heinze, HJ; Denke, C"	"Mirror-like brain responses to observed touch and personality dimensions"	"2013"	"10.3389/fnhum.2013.00227"	"WOS:000319900600001"
"Bhanji, JP; Beer, JS"	"Dissociable Neural Modulation Underlying Lasting First Impressions, Changing Your Mind for the Better, and Changing It for the Worse"	"2013"	"10.1523/JNEUROSCI.5634-12.2013"	"WOS:000319566300011"
"Ramsey, R; Hansen, P; Apperly, I; Samson, D"	"Seeing It My Way or Your Way: Frontoparietal Brain Areas Sustain Viewpoint-independent Perspective Selection Processes"	"2013"	"10.1162/jocn_a_00345"	"WOS:000316863900002"
"Choudhury, S; McKinney, KA"	"Digital media, the developing brain and the interpretive plasticity of neuroplasticity"	"2013"	"10.1177/1363461512474623"	"WOS:000323213700002"
"Cho, K; Frijters, JC; Zhang, HP; Miller, LL; Gruen, JR"	"Prenatal Exposure to Nicotine and Impaired Reading Performance"	"2013"	"10.1016/j.jpeds.2012.09.041"	"WOS:000316728900017"
"Hughes, BL; Beer, JS"	"Protecting the Self: The Effect of Social-evaluative Threat on Neural Representations of Self"	"2013"	"10.1162/jocn_a_00343"	"WOS:000315580100009"
"Schmitz, G; Mohammadi, B; Hammer, A; Heldmann, M; Samii, A; Munte, TF; Effenberg, AO"	"Observation of sonified movements engages a basal ganglia frontocortical network"	"2013"	"10.1186/1471-2202-14-32"	"WOS:000316255600001"
"Sekiguchi, A; Sugiura, M; Yokoyama, S; Sassa, Y; Horie, K; Sato, S; Kawashima, R"	"Neural correlates of adaptive social responses to real-life frustrating situations: a functional MRI study"	"2013"	"10.1186/1471-2202-14-29"	"WOS:000316702300001"
"Miyahara, M; Kitada, R; Sasaki, AT; Okamoto, Y; Tanabe, HC; Sadato, N"	"From gestures to words: Spontaneous verbal labeling of complex sequential hand movements reduces fMRI activation of the imitation-related regions"	"2013"	"10.1016/j.neures.2012.12.007"	"WOS:000318588400009"
"Kong, J; Jensen, K; Loiotile, R; Cheetham, A; Wey, HY; Tan, Y; Rosen, B; Smoller, JW; Kaptchuk, TJ; Gollub, RL"	"Functional connectivity of the frontoparietal network predicts cognitive modulation of pain"	"2013"	"10.1016/j.pain.2012.12.004"	"WOS:000315299800020"
"Lelieveld, GJ; Moor, BG; Crone, EA; Karremans, JC; van Beest, I"	"A Penny for Your Pain? The Financial Compensation of Social Pain After Exclusion"	"2013"	"10.1177/1948550612446661"	"WOS:000336435500010"
"Schreiber, D; Fonzo, G; Simmons, AN; Dawes, CT; Flagan, T; Fowler, JH; Paulus, MP"	"Red Brain, Blue Brain: Evaluative Processes Differ in Democrats and Republicans"	"2013"	"10.1371/journal.pone.0052970"	"WOS:000315970300009"
"Fushing, H; Wang, H; VanderWaal, K; McCowan, B; Koehl, P"	"Multi-Scale Clustering by Building a Robust and Self Correcting Ultrametric Topology on Data Points"	"2013"	"10.1371/journal.pone.0056259"	"WOS:000315965100041"
"Spreckelmeyer, KN; Rademacher, L; Paulus, FM; Grunder, G"	"Neural activation during anticipation of opposite-sex and same-sex faces in heterosexual men and women"	"2013"	"10.1016/j.neuroimage.2012.10.068"	"WOS:000322355800024"
"Grecucci, A; Giorgetta, C; van't Wout, M; Bonini, N; Sanfey, AG"	"Reappraising the Ultimatum: an fMRI Study of Emotion Regulation and Decision Making"	"2013"	"10.1093/cercor/bhs028"	"WOS:000313529600016"
"Telzer, EH; Humphreys, KL; Shapiro, M; Tottenham, N"	"Amygdala Sensitivity to Race Is Not Present in Childhood but Emerges over Adolescence"	"2013"	"10.1162/jocn_a_00311"	"WOS:000312931900006"
"van der Heiden, L; Scherpiet, S; Konicar, L; Birbaumer, N; Veit, R"	"Inter-individual differences in successful perspective taking during pain perception mediates emotional responsiveness in self and others: An fMRI study"	"2013"	"10.1016/j.neuroimage.2012.10.003"	"WOS:000312283900035"
"Bakalash, T; Riemer, H"	"Exploring Ad-Elicited Emotional Arousal and Memory for the Ad Using fMRI"	"2013"	"10.1080/00913367.2013.768065"	"WOS:000326655000001"
"Maurage, P; Bestelmeyer, PEG; Rouger, J; Charest, I; Belin, P"	"Binge drinking influences the cerebral processing of vocal affective bursts in young adults"	"2013"	"10.1016/j.nicl.2013.08.010"	"WOS:000209276900024"
"Yun, K; Watanabe, K; Shimojo, S"	"Interpersonal body and neural synchronization as a marker of implicit social interaction"	"2012"	"10.1038/srep00959"	"WOS:000312274900008"
"Falk, EB; O'Donnell, MB; Lieberman, MD"	"Getting the word out: neural correlates of enthusiastic message propagation"	"2012"	"10.3389/fnhum.2012.00313"	"WOS:000311718600001"
"Homola, GA; Jbabdi, S; Beckmann, CF; Bartsch, AJ"	"A Brain Network Processing the Age of Faces"	"2012"	"10.1371/journal.pone.0049451"	"WOS:000311535700033"
"Lee, RF; Dai, W; Jones, J"	"Decoupled circular-polarized dual-head volume coil pair for studying two interacting human brains with dyadic fMRI"	"2012"	"10.1002/mrm.23313"	"WOS:000309203500010"
"Wilbers, L; Deuker, L; Fell, J; Axmacher, N"	"Are Autobiographical Memories Inherently Social? Evidence from an fMRI Study"	"2012"	"10.1371/journal.pone.0045089"	"WOS:000309392800025"
"Lischke, A; Gamer, M; Berger, C; Grossmann, A; Hauenstein, K; Heinrichs, M; Herpertz, SC; Domes, G"	"Oxytocin increases amygdala reactivity to threatening scenes in females"	"2012"	"10.1016/j.psyneuen.2012.01.011"	"WOS:000307678800007"
"Ross, LA; Olson, IR"	"What's Unique about Unique Entities? An fMRI Investigation of the Semantics of Famous Faces and Landmarks"	"2012"	"10.1093/cercor/bhr274"	"WOS:000307505900004"
"Van Dillen, LF; van der Wal, RC; van den Bos, K"	"On the Role of Attention and Emotion in Morality: Attentional Control Modulates Unrelated Disgust in Moral Judgments"	"2012"	"10.1177/0146167212448485"	"WOS:000307112300010"
"Lee, TMC; Leung, MK; Hou, WK; Tang, JCY; Yin, J; So, KF; Lee, CF; Chan, CCH"	"Distinct Neural Activity Associated with Focused-Attention Meditation and Loving-Kindness Meditation"	"2012"	"10.1371/journal.pone.0040054"	"WOS:000307823600003"
"Poore, JC; Pfeifer, JH; Berkman, ET; Inagaki, TK; Welborn, BL; Lieberman, MD"	"Prediction-errror in the context of real social relationships modulates reward system activity"	"2012"	"10.3389/fnhum.2012.00218"	"WOS:000307873400001"
"Lauharatanahirun, N; Christopoulos, GI; King-Casas, B"	"Neural computations underlying social risk sensitivity"	"2012"	"10.3389/fnhum.2012.00213"	"WOS:000307178500001"
"Zaki, J; Weber, J; Ochsner, K"	"Task-dependent neural bases of perceiving emotionally expressive targets"	"2012"	"10.3389/fnhum.2012.00228"	"WOS:000307178000001"
"Canessa, N; Alemanno, F; Riva, F; Zani, A; Proverbio, AM; Mannara, N; Perani, D; Cappa, SF"	"The Neural Bases of Social Intention Understanding: The Role of Interaction Goals"	"2012"	"10.1371/journal.pone.0042347"	"WOS:000306950200196"
"Dolk, T; Liepelt, R; Villringer, A; Prinz, W; Ragert, P"	"Morphometric gray matter differences of the medial frontal cortex influence the social Simon effect"	"2012"	"10.1016/j.neuroimage.2012.03.061"	"WOS:000305920600050"
"Morrison, S; Decety, J; Molenberghs, P"	"The neuroscience of group membership"	"2012"	"10.1016/j.neuropsychologia.2012.05.014"	"WOS:000307025600043"
"Brown, AA; Jensen, J; Nikolova, YS; Djurovic, S; Agartz, I; Server, A; Ferrell, RE; Manuck, SB; Mattingsdal, M; Melle, I; Hariri, AR; Frigessi, A; Andreassen, OA"	"Genetic variants affecting the neural processing of human facial expressions: evidence using a genome-wide functional imaging approach"	"2012"	"10.1038/tp.2012.67"	"WOS:000209337200004"
"Falk, EB; Way, BM; Jasinska, AJ"	"An imaging genetics approach to understanding social influence"	"2012"	"10.3389/fnhum.2012.00168"	"WOS:000305330500001"
"Harle, KM; Sanfey, AG"	"Social economic decision-making across the lifespan: An fMRI investigation"	"2012"	"10.1016/j.neuropsychologia.2012.02.026"	"WOS:000305855500020"
"Beadle, JN; Yoon, C; Gutchess, AH"	"Age-related neural differences in affiliation and isolation"	"2012"	"10.3758/s13415-012-0085-y"	"WOS:000303476100002"
"Herwig, U; Kaffenberger, T; Schell, C; Jancke, L; Bruhl, AB"	"Neural activity associated with self-reflection"	"2012"	"10.1186/1471-2202-13-52"	"WOS:000308692400001"
"Becchio, C; Cavallo, A; Begliomini, C; Sartori, L; Feltrin, G; Castiello, U"	"Social grasping: From mirroring to mentalizing"	"2012"	"10.1016/j.neuroimage.2012.03.013"	"WOS:000303954600025"
"Marchant, JL; Ruff, CC; Driver, J"	"Audiovisual synchrony enhances BOLD responses in a brain network including multisensory STS while also enhancing target-detection performance for both modalities"	"2012"	"10.1002/hbm.21278"	"WOS:000302533100015"
"Sheridan, MA; Sarsour, K; Jutte, D; D'Esposito, M; Boyce, WT"	"The Impact of Social Disparity on Prefrontal Function in Childhood"	"2012"	"10.1371/journal.pone.0035744"	"WOS:000305349100023"
"Schaefer, M; Heinze, HJ; Rotte, M"	"Embodied empathy for tactile events: Interindividual differences and vicarious somatosensory responses during touch observation"	"2012"	"10.1016/j.neuroimage.2012.01.112"	"WOS:000303272300013"
"Yang, JF; Wang, XJ; Shu, H; Zevin, JD"	"Task by stimulus interactions in brain responses during Chinese character processing"	"2012"	"10.1016/j.neuroimage.2012.01.036"	"WOS:000303272300016"
"Guionnet, S; Nadel, J; Bertasi, E; Sperduti, M; Delaveau, P; Fossati, P"	"Reciprocal Imitation: Toward a Neural Basis of Social Interaction"	"2012"	"10.1093/cercor/bhr177"	"WOS:000302004600022"
"Lindenberg, R; Uhlig, M; Scherfeld, D; Schlaug, G; Seitz, RJ"	"Communication with emblematic gestures: Shared and distinct neural correlates of expression and reception"	"2012"	"10.1002/hbm.21258"	"WOS:000301341000005"
"Walter, NT; Montag, C; Markett, S; Felten, A; Voigt, G; Reuter, M"	"Ignorance is no excuse: Moral judgments are influenced by a genetic variation on the oxytocin receptor gene"	"2012"	"10.1016/j.bandc.2012.01.003"	"WOS:000300806900010"
"Cheung, H; Chen, L; Szeto, CY; Feng, GY; Lu, GM; Zhang, ZQ; Zhu, ZD; Wang, SP"	"False belief and verb non-factivity: A common neural basis?"	"2012"	"10.1016/j.ijpsycho.2011.12.002"	"WOS:000303094100014"
"Miller, JG; Kinsbourne, M"	"Culture and Neuroscience in Developmental Psychology: Contributions and Challenges"	"2012"	"10.1111/j.1750-8606.2011.00188.x"	"WOS:000300044700006"
"Villarreal, MF; Fridman, EA; Leiguarda, RC"	"The Effect of the Visual Context in the Recognition of Symbolic Gestures"	"2012"	"10.1371/journal.pone.0029644"	"WOS:000302873700004"
"Losin, EAR; Iacoboni, M; Martin, A; Cross, KA; Dapretto, M"	"Race modulates neural activity during imitation"	"2012"	"10.1016/j.neuroimage.2011.10.074"	"WOS:000301090100055"
"Spreng, RN; Mar, RA"	"I remember you: A role for memory in social cognition and the functional neuroanatomy of their interaction"	"2012"	"10.1016/j.brainres.2010.12.024"	"WOS:000300211200006"
"Lindquist, MA; Spicer, J; Asllani, I; Wager, TD"	"Estimating and testing variance components in a multi-level GLM"	"2012"	"10.1016/j.neuroimage.2011.07.077"	"WOS:000296265500048"
"Harenski, CL; Harenski, KA; Shane, MS; Kiehl, KA"	"Neural development of mentalizing in moral judgment from adolescence to adulthood"	"2012"	"10.1016/j.dcn.2011.09.002"	"WOS:000315317500015"
"Shanks, DR; Berry, CJ"	"Are there multiple memory systems? Tests of models of implicit and explicit memory"	"2012"	"10.1080/17470218.2012.691887"	"WOS:000307232600001"
"Zbikowski, LM"	"Music, Dance, and Meaning in the Early Nineteenth Century"	"2012"	"10.1080/01411896.2012.680880"	"WOS:000304921300005"
"Nakao, T; Tokunaga, S; Takamura, M; Nashiwa, H; Hayashi, S; Miyatani, M"	"Altruistic People Show No Self-Reference Effect in Memory"	"2012"	"10.1080/00221309.2011.642027"	"WOS:000302559600003"
"Benn, Y; Zheng, Y; Wilkinson, ID; Siegal, M; Varley, R"	"Language in calculation: A core mechanism?"	"2012"	"10.1016/j.neuropsychologia.2011.09.045"	"WOS:000300388900001"
"Cazzato, V; Macaluso, E; Crostella, F; Aglioti, SM"	"Mapping reflexive shifts of attention in eye-centered and hand-centered coordinate systems"	"2012"	"10.1002/hbm.21202"	"WOS:000298591100014"
"Wurm, MF; von Cramon, DY; Schubotz, RI"	"Do We Mind Other Minds When We Mind Other Minds' Actions? A Functional Magnetic Resonance Imaging Study"	"2011"	"10.1002/hbm.21176"	"WOS:000297918500010"
"Pannese, A"	"The 'I' of the beholder: studying the 'self' across the humanities and neuroscience"	"2011"	"10.1136/jmh.2011.007369"	"WOS:000297686000012"
"Hirotani, M; Makuuchi, M; Ruschemeyer, SA; Friederici, AD"	"Who was the Agent? The Neural Correlates of Reanalysis Processes during Sentence Comprehension"	"2011"	"10.1002/hbm.21146"	"WOS:000296850700001"
"Liew, SL; Han, SH; Aziz-Zadeh, L"	"Familiarity Modulates Mirror Neuron and Mentalizing Regions During Intention Understanding"	"2011"	"10.1002/hbm.21164"	"WOS:000296850700018"
"Hare, TA; Schultz, W; Camerer, CF; O'Doherty, JP; Rangel, A"	"Transformation of stimulus value signals into motor commands during simple choice"	"2011"	"10.1073/pnas.1109322108"	"WOS:000296373400052"
"Van Bavel, JJ; Packer, DJ; Cunningham, WA"	"Modulation of the Fusiform Face Area following Minimal Exposure to Motivationally Relevant Faces: Evidence of In-group Enhancement (Not Out-group Disregard)"	"2011"	"10.1162/jocn_a_00016"	"WOS:000295869500014"
"Libedinsky, C; Smith, DV; Teng, CS; Namburi, P; Chen, VW; Huettel, SA; Chee, MWL"	"Sleep deprivation alters valuation signals in the ventromedial prefrontal cortex"	"2011"	"10.3389/fnbeh.2011.00070"	"WOS:000296729400001"
"Dima, D; Stephan, KE; Roiser, JP; Friston, KJ; Frangou, S"	"Effective Connectivity during Processing of Facial Affect: Evidence for Multiple Parallel Pathways"	"2011"	"10.1523/JNEUROSCI.2400-11.2011"	"WOS:000295805500035"
"Todorov, A; Said, CP; Oosterhof, NN; Engell, AD"	"Task-invariant Brain Responses to the Social Value of Faces"	"2011"	"10.1162/jocn.2011.21616"	"WOS:000294055600012"
"Rick, S"	"Losses, gains, and brains: Neuroeconomics can help to answer open questions about loss aversion"	"2011"	"10.1016/j.jcps.2010.04.004"	"WOS:000295998800009"
"Strang, NM; Pruessner, J; Pollak, SD"	"Developmental changes in adolescents' neural response to challenge"	"2011"	"10.1016/j.dcn.2011.06.006"	"WOS:000208653600017"
"Adams, RB; Franklin, RG; Nelson, AJ; Gordon, HL; Kleck, RE; Whalen, PJ; Ambady, N"	"Differentially tuned responses to restricted versus prolonged awareness of threat: A preliminary fMRI investigation"	"2011"	"10.1016/j.bandc.2011.05.001"	"WOS:000294378000015"
"Mowrer, SM; Jahn, AA; Abduljalil, A; Cunningham, WA"	"The Value of Success: Acquiring Gains, Avoiding Losses, and Simply Being Successful"	"2011"	"10.1371/journal.pone.0025307"	"WOS:000295265100085"
"Li, BJ; Daunizeau, J; Stephan, KE; Penny, W; Hu, DW; Friston, KJ"	"Generalised filtering and stochastic DCM for fMRI"	"2011"	"10.1016/j.neuroimage.2011.01.085"	"WOS:000294525000016"
"Lim, SL; O'Doherty, JP; Rangel, A"	"The Decision Value Computations in the vmPFC and Striatum Use a Relative Value Code That is Guided by Visual Attention"	"2011"	"10.1523/JNEUROSCI.1246-11.2011"	"WOS:000294841900020"
"Brown, S; Gao, XQ; Tisdelle, L; Eickhoff, SB; Liotti, M"	"Naturalizing aesthetics: Brain areas for aesthetic appraisal across sensory modalities"	"2011"	"10.1016/j.neuroimage.2011.06.012"	"WOS:000293548500027"
"Donnelly, N; Zurcher, NR; Cornes, K; Snyder, J; Naik, P; Hadwin, J; Hadjikhani, N"	"Discriminating Grotesque from Typical Faces: Evidence from the Thatcher Illusion"	"2011"	"10.1371/journal.pone.0023340"	"WOS:000294680800009"
"Sebastian, CL; Tan, GCY; Roiser, JP; Viding, E; Dumontheil, I; Blakemore, SJ"	"Developmental influences on the neural bases of responses to social rejection: Implications of social neuroscience for education"	"2011"	"10.1016/j.neuroimage.2010.09.063"	"WOS:000292717900004"
"Quadflieg, S; Flannigan, N; Waiter, GD; Rossion, B; Wig, GS; Turk, DJ; Macrae, CN"	"Stereotype-based modulation of person perception"	"2011"	"10.1016/j.neuroimage.2011.05.004"	"WOS:000291960200029"
"Cloutier, J; Gabrieli, JDE; O'Young, D; Ambady, N"	"An fMRI study of violations of social expectations: When people are not who we expect them to be"	"2011"	"10.1016/j.neuroimage.2011.04.051"	"WOS:000291960200033"
"Cheon, BK; Im, DM; Harada, T; Kim, JS; Mathur, VA; Scimeca, JM; Parrish, TB; Park, HW; Chiao, JY"	"Cultural influences on neural basis of intergroup empathy"	"2011"	"10.1016/j.neuroimage.2011.04.031"	"WOS:000291960200040"
"Karremans, JC; Heslenfeld, DJ; van Dillen, LF; Van Lange, PAM"	"Secure attachment partners attenuate neural responses to social exclusion: An fMRI investigation"	"2011"	"10.1016/j.ijpsycho.2011.04.003"	"WOS:000292489600006"
"O'Connell, G; De Wilde, J; Haley, J; Shuler, K; Schafer, B; Sandercock, P; Wardlaw, JM"	"The brain, the science and the media - The legal, corporate, social and security implications of neuroimaging and the impact of media coverage"	"2011"	"10.1038/embor.2011.115"	"WOS:000292325700011"
"Havlicek, M; Friston, KJ; Jan, J; Brazdil, M; Calhoun, VD"	"Dynamic modeling of neuronal responses in fMRI using cubature Kalman filtering"	"2011"	"10.1016/j.neuroimage.2011.03.005"	"WOS:000291457500023"
"Atmaca, S; Sebanz, N; Knoblich, G"	"The joint flanker effect: sharing tasks with real and imagined co-actors"	"2011"	"10.1007/s00221-011-2709-9"	"WOS:000291038600005"
"Petrini, K; Pollick, FE; Dahl, S; McAleer, P; McKay, L; Rocchesso, D; Waadeland, CH; Love, S; Avanzini, F; Puce, A"	"Action expertise reduces brain activity for audiovisual matching actions: An fMRI study with expert drummers"	"2011"	"10.1016/j.neuroimage.2011.03.009"	"WOS:000290649300060"
"Brodersen, KH; Haiss, F; Ong, CS; Jung, F; Tittgemeyer, M; Buhmann, JM; Weber, B; Stephan, KE"	"Model-based feature construction for multivariate decoding"	"2011"	"10.1016/j.neuroimage.2010.04.036"	"WOS:000290081900019"
"Kuo, BC; Yeh, YY; Chen, AJW; D'Esposito, M"	"Functional connectivity during top-down modulation of visual short-term memory representations"	"2011"	"10.1016/j.neuropsychologia.2010.12.043"	"WOS:000291503700024"
"Pfeifer, JH; Masten, CL; Moore, WE; Oswald, TM; Mazziotta, JC; Iacoboni, M; Dapretto, M"	"Entering Adolescence: Resistance to Peer Influence, Risky Behavior, and Neural Changes in Emotion Reactivity"	"2011"	"10.1016/j.neuron.2011.02.019"	"WOS:000288736500018"
"Straube, T; Miltner, WHR"	"Attention to aversive emotion and specific activation of the right insula and right somatosensory cortex"	"2011"	"10.1016/j.neuroimage.2010.10.010"	"WOS:000286302000075"
"Kim, C; Kroger, JK; Kim, J"	"A Functional Dissociation of Conflict Processing Within Anterior Cingulate Cortex"	"2011"	"10.1002/hbm.21020"	"WOS:000286281300014"
"Roder, CH; Mohr, H; Linden, DEJ"	"Retention of identity versus expression of emotional faces differs in the recruitment of limbic areas"	"2011"	"10.1016/j.neuropsychologia.2010.11.040"	"WOS:000287909900016"
"Riecke, L; Walter, A; Sorger, B; Formisano, E"	"Tracking Vocal Pitch through Noise: Neural Correlates in Nonprimary Auditory Cortex"	"2011"	"10.1523/JNEUROSCI.3450-10.2011"	"WOS:000286655600033"
"Kompus, K"	"Default mode network gates the retrieval of task-irrelevant incidental memories"	"2011"	"10.1016/j.neulet.2010.10.047"	"WOS:000286697400015"
"Kirk, U; Downar, J; Montague, PR"	"Interoception drives increased rational decision-making in meditators playing the ultimatum game"	"2011"	"10.3389/fnins.2011.00049"	"WOS:000209200600045"
"Hu, YZ; Geng, FJ; Tao, LX; Hu, N; Du, FL; Fu, KA; Chen, FY"	"Enhanced White Matter Tracts Integrity in Children With Abacus Training"	"2011"	"10.1002/hbm.20996"	"WOS:000285398000002"
"Sinnett, S; Hodges, NJ; Chua, R; Kingstone, A"	"Embodiment of motor skills when observing expert and novice athletes"	"2011"	"10.1080/17470218.2010.513736"	"WOS:000288952600004"
"Dvash, J; Gilam, G; Ben-Ze'ev, A; Hendler, T; Shamay-Tsoory, SG"	"The Envious Brain: The Neural Basis of Social Comparison"	"2010"	"10.1002/hbm.20972"	"WOS:000283641100010"
"Weerda, R; Muehlhan, M; Wolf, OT; Thiel, CM"	"Effects of Acute Psychosocial Stress on Working Memory Related Brain Activity in Men"	"2010"	"10.1002/hbm.20945"	"WOS:000281725100011"
"Oosterhof, NN; Wiggett, AJ; Diedrichsen, J; Tipper, SP; Downing, PE"	"Surface-Based Information Mapping Reveals Crossmodal Vision-Action Representations in Human Parietal and Occipitotemporal Cortex"	"2010"	"10.1152/jn.00326.2010"	"WOS:000280932400048"
"Menz, MM; Blangero, A; Kunze, D; Binkofski, F"	"Got it! Understanding the concept of a tool"	"2010"	"10.1016/j.neuroimage.2010.03.050"	"WOS:000278042000016"
"Harvey, AH; Kirk, U; Denfield, GH; Montague, PR"	"Monetary Favors and Their Influence on Neural Responses and Revealed Preference"	"2010"	"10.1523/JNEUROSCI.1086-10.2010"	"WOS:000279899100026"
"Bjorkman, A; Weibull, A; Svensson, J; Balogh, I; Rosen, B"	"Cortical changes in dental technicians exposed to vibrating tools"	"2010"	"10.1097/WNR.0b013e32833b6cce"	"WOS:000278877700011"
"Cross, ES; Mackie, EC; Wolford, G; Hamilton, AFD"	"Contorted and ordinary body postures in the human brain"	"2010"	"10.1007/s00221-009-2093-x"	"WOS:000279463000012"
"Zaitchik, D; Walker, C; Miller, S; LaViolette, P; Feczko, E; Dickerson, BC"	"Mental state attribution and the temporoparietal junction: An fMRI study comparing belief, emotion, and perception"	"2010"	"10.1016/j.neuropsychologia.2010.04.031"	"WOS:000280573300013"
"Ramsey, R; Hamilton, AFD"	"Triangles have goals too: Understanding action representation in left aIPS"	"2010"	"10.1016/j.neuropsychologia.2010.04.028"	"WOS:000280573300041"
"DeWall, CN; MacDonald, G; Webster, GD; Masten, CL; Baumeister, RF; Powell, C; Combs, D; Schurtz, DR; Stillman, TF; Tice, DM; Eisenberger, NI"	"Acetaminophen Reduces Social Pain: Behavioral and Neural Evidence"	"2010"	"10.1177/0956797610374741"	"WOS:000285453600007"
"Cooper, RP; Shallice, T"	"Cognitive Neuroscience: The Troubled Marriage of Cognitive Science and Neuroscience"	"2010"	"10.1111/j.1756-8765.2010.01090.x"	"WOS:000283869500009"
"Scharpf, KR; Wendt, J; Lotze, M; Hamm, AO"	"The brain's relevance detection network operates independently of stimulus modality"	"2010"	"10.1016/j.bbr.2010.01.038"	"WOS:000277798900003"
"Ng, SH; Han, SH; Mao, LH; Lai, JCL"	"Dynamic bicultural brains: fMRI study of their flexible neural representation of self and significant others in response to culture primes"	"2010"	"10.1111/j.1467-839X.2010.01303.x"	"WOS:000277972800003"
"Burke, CJ; Tobler, PN; Schultz, W; Baddeley, M"	"Striatal BOLD response reflects the impact of herd information on financial decisions"	"2010"	"10.3389/fnhum.2010.00048"	"WOS:000282827400001"
"Cheng, YW; Chen, CY; Lin, CP; Chou, KH; Decety, J"	"Love hurts: An fMRI study"	"2010"	"10.1016/j.neuroimage.2010.02.047"	"WOS:000277141200044"
"Gallo, DA; McDonough, IM; Scimeca, J"	"Dissociating Source Memory Decisions in the Prefrontal Cortex: fMRI of Diagnostic and Disqualifying Monitoring"	"2010"	"10.1162/jocn.2009.21263"	"WOS:000275309700012"
"Deen, B; McCarthy, G"	"Reading about the actions of others: Biological motion imagery and action congruency influence brain activity"	"2010"	"10.1016/j.neuropsychologia.2010.01.028"	"WOS:000278261900008"
"Matsuo, K; Chen, SHA; Hue, CW; Wu, CY; Bagarinao, E; Tseng, WYI; Nakai, T"	"Neural substrates of phonological selection for Japanese character Kanji based on fMRI investigations"	"2010"	"10.1016/j.neuroimage.2009.12.099"	"WOS:000275408200042"
"Beck, L; Wolter, M; Mungard, NF; Vohn, R; Staedtgen, M; Kuhlen, T; Sturm, W"	"Evaluation of Spatial Processing in Virtual Reality Using Functional Magnetic Resonance Imaging (fMRI)"	"2010"	"10.1089/cyber.2008.0343"	"WOS:000278034700015"
"Davey, CG; Allen, NB; Harrison, B; Dwyer, DB; Yucel, M"	"Being Liked Activates Primary Reward and Midline Self-Related Brain Regions"	"2010"	"10.1002/hbm.20895"	"WOS:000276537800014"
"Rameson, LT; Satpute, AB; Lieberman, MD"	"The neural correlates of implicit and explicit self-relevant processing"	"2010"	"10.1016/j.neuroimage.2009.12.098"	"WOS:000274948400038"
"Viviani, R"	"Unbiased ROI selection in neuroimaging studies of individual differences"	"2010"	"10.1016/j.neuroimage.2009.10.085"	"WOS:000274810100017"
"Penny, WD; Stephan, KE; Daunizeau, J; Rosa, MJ; Friston, KJ; Schofield, TM; Leff, AP"	"Comparing Families of Dynamic Causal Models"	"2010"	"10.1371/journal.pcbi.1000709"	"WOS:000278125200017"
"Kasess, CH; Stephan, KE; Weissenbacher, A; Pezawas, L; Moser, E; Windischberger, C"	"Multi-subject analyses with dynamic causal modeling"	"2010"	"10.1016/j.neuroimage.2009.11.037"	"WOS:000274064500019"
"Kubina, B; Ristic, D; Weber, J; Stracke, CP; Forster, C; Ellrich, J"	"Bilateral brainstem activation by thermal stimulation of the face in healthy volunteers"	"2010"	"10.1007/s00415-009-5307-z"	"WOS:000274251700017"
"Kramer, UM; Mohammadi, B; Donamayor, N; Samii, A; Munte, TF"	"Emotional and cognitive aspects of empathy and their relation to social cognition-an fMRI-study"	"2010"	"10.1016/j.brainres.2009.11.043"	"WOS:000274424700011"
"Aziz-Zadeh, L; Sheng, T; Gheytanchi, A"	"Common Premotor Regions for the Perception and Production of Prosody and Correlations with Empathy and Prosodic Ability"	"2010"	"10.1371/journal.pone.0008759"	"WOS:000273779000008"
"Verosky, SC; Todorov, A"	"Differential neural responses to faces physically similar to the self as a function of their valence"	"2010"	"10.1016/j.neuroimage.2009.10.017"	"WOS:000272808400052"
"Hooker, CI; Verosky, SC; Germine, LT; Knight, RT; D'Esposito, M"	"Neural activity during social signal perception correlates with self-reported empathy"	"2010"	"10.1016/j.brainres.2009.10.006"	"WOS:000274513000010"
"Goodenough, OR; Tucker, M"	"Law and Cognitive Neuroscience"	"2010"	"10.1146/annurev.lawsocsci.093008.131523"	"WOS:000285329900004"
"Nguwi, YY; Cho, SY"	"Support-vector-based emergent self-organising approach for emotional understanding"	"2010"	"10.1080/09540091.2010.521936"	"WOS:000284410100004"
"Enzi, B; de Greck, M; Prosch, U; Tempelmann, C; Northoff, G"	"Is Our Self Nothing but Reward? Neuronal Overlap and Distinction between Reward and Personal Relevance and Its Relation to Human Personality"	"2009"	"10.1371/journal.pone.0008429"	"WOS:000273104000004"
"Tesink, CMJY; Petersson, KM; van Berkum, JJA; van den Brink, D; Buitelaar, JK; Hagoort, P"	"Unification of Speaker and Meaning in Language Comprehension: An fMRI Study"	"2009"	"10.1162/jocn.2008.21161"	"WOS:000270741300003"
"Stephan, KE; Tittgemeyer, M; Knosche, TR; Moran, RJ; Friston, KJ"	"Tractography-based priors for dynamic causal models"	"2009"	"10.1016/j.neuroimage.2009.05.096"	"WOS:000269035100051"
"Osaka, N; Osaka, M"	"Gaze-related mimic word activates the frontal eye field and related network in the human brain: An fMRI study"	"2009"	"10.1016/j.neulet.2009.06.023"	"WOS:000268429400001"
