"AU"	"TI"	"PY"	"DI"	"UT"
"Bruneau, EG; Jacoby, N; Saxe, R"	"Empathic control through coordinated interaction of amygdala, theory of mind and extended pain matrix brain regions"	"2015"	"10.1016/j.neuroimage.2015.04.034"	"WOS:000355002900008"
"Appelgren, A; Bengtsson, SL"	"Feedback on Trait or Action Impacts on Caudate and Paracingulum Activity"	"2015"	"10.1371/journal.pone.0129714"	"WOS:000356901900019"
"Marsden, KE; Ma, WJ; Deci, EL; Ryan, RM; Chiu, PH"	"Diminished neural responses predict enhanced intrinsic motivation and sensitivity to external incentive"	"2015"	"10.3758/s13415-014-0324-5"	"WOS:000354641800002"
"Berken, JA; Gracco, VL; Chen, JK; Watkins, KE; Baum, S; Callahan, M; Klein, D"	"Neural activation in speech production and reading aloud in native and non-native languages"	"2015"	"10.1016/j.neuroimage.2015.03.016"	"WOS:000353203400021"
"O'Donnell, MB; Falk, EB"	"Big Data under the Microscope and Brains in Social Context: Integrating Methods from Computational Social Science and Neuroscience"	"2015"	"10.1177/0002716215569446"	"WOS:000352789600019"
"Fritsch, V; Da Mota, B; Loth, E; Varoquauxa, G; Banaschewski, T; Barker, GJ; Bokde, ALW; Bruhl, R; Butzek, B; Conrod, P; Flor, H; Garavan, H; Lemaitre, H; Mann, K; Nees, F; Paus, T; Schad, DJ; Schumann, G; Frouin, V; Poline, JB; Thirion, B"	"Robust regression for large-scale neuroimaging studies"	"2015"	"10.1016/j.neuroimage.2015.02.048"	"WOS:000352224100038"
"Luo, SY; Li, BF; Ma, Y; Zhang, WX; Rao, Y; Han, SH"	"Oxytocin receptor gene and racial ingroup bias in empathy-related brain activity"	"2015"	"10.1016/j.neuroimage.2015.01.042"	"WOS:000352165500015"
"Harris, J; Lawrence, DR"	"Hot Baths and Cold Minds Neuroscience, Mind Reading, and Mind Misreading"	"2015"	"10.1017/S0963180114000425"	"WOS:000356166100001"
"Tu, L; Wang, JJ; Abutalebi, J; Jiang, B; Pan, XM; Li, M; Gao, W; Yang, YC; Liang, BS; Lu, Z; Huang, RW"	"Language exposure induced neuroplasticity in the bilingual brain: A follow-up fMRI study"	"2015"	"10.1016/j.cortex.2014.09.019"	"WOS:000351248400003"
"Perini, I; Morrison, I; Olausson, H"	"Seeking pleasant touch: neural correlates of behavioral preferences for skin stroking"	"2015"	"10.3389/fnbeh.2015.00008"	"WOS:000348851300001"
"Salmanowitz, N"	"The case for pain neuroimaging in the courtroom: lessons from deception detection"	"2015"	"10.1093/jlb/lsv003"	"WOS:000366510800015"
"Inagaki, TK; Muscatell, KA; Irwin, MR; Moieni, M; Dutcher, JM; Jevtic, I; Breen, EC; Eisenberger, NL"	"The role of the ventral striatum in inflammatory-induced approach toward support figures"	"2015"	"10.1016/j.bbi.2014.10.006"	"WOS:000360592900028"
"O'Donnell, MB; Falk, EB; Lieberman, MD"	"Social in, Social out: How the Brain Responds to Social Language with More Social Language"	"2015"	"10.1080/03637751.2014.990472"	"WOS:000348792000001"
"Pickering, G; Kastler, A; Macian, N; Pereira, B; Valabregue, R; Lehericy, S; Boyer, L; Dubray, C; Jean, B"	"The brain signature of paracetamol in healthy volunteers: a double-blind randomized trial"	"2015"	"10.2147/DDDT.S81004"	"WOS:000358574300001"
"Gilbert, LR; Pond, RS; Haak, EA; Dewall, CN; Keller, PS"	"SLEEP PROBLEMS EXACERBATE THE EMOTIONAL CONSEQUENCES OF INTERPERSONAL REJECTION"	"2015"	"10.1521/jscp.2015.34.1.50"	"WOS:000349510400003"
"Hartwright, CE; Apperly, IA; Hansen, PC"	"The special case of self-perspective inhibition in mental, but not non-mental, representation"	"2015"	"10.1016/j.neuropsychologia.2014.12.015"	"WOS:000348880800017"
"DeWall, CN; Chester, DS; White, DS"	"Can acetaminophen reduce the pain of decision-making?"	"2015"	"10.1016/j.jesp.2014.09.006"	"WOS:000347770600015"
"Weber, R; Mangus, JM; Huskey, R"	"Brain Imaging in Communication Research: A Practical Guide to Understanding and Evaluating fMRI Studies"	"2015"	"10.1080/19312458.2014.999754"	"WOS:000214536700002"
"Welborn, BL; Lieberman, MD"	"Person-specific Theory of Mind in Medial pFC"	"2015"	"10.1162/jocn_a_00700"	"WOS:000345616600001"
"Anders, S; Heussen, Y; Sprenger, A; Haynes, JD; Ethofer, T"	"Social gating of sensory information during ongoing communication"	"2015"	"10.1016/j.neuroimage.2014.10.007"	"WOS:000345393800019"
"Kuhn, S; Brick, TR; Muller, BCN; Gallinat, J"	"Is This Car Looking at You? How Anthropomorphism Predicts Fusiform Face Area Activation when Seeing Cars"	"2014"	"10.1371/journal.pone.0113885"	"WOS:000347215600010"
"Mei, LL; Xue, G; Lu, ZL; Chen, CS; Zhang, MX; He, QH; Wei, M; Dong, Q"	"Learning to read words in a new language shapes the neural organization of the prior languages"	"2014"	"10.1016/j.neuropsychologia.2014.10.019"	"WOS:000348014700018"
"Lynn, MT; Muhle-Karbe, PS; Brass, M"	"Controlling the self: The role of the dorsal frontomedian cortex in intentional inhibition"	"2014"	"10.1016/j.neuropsychologia.2014.09.009"	"WOS:000348014700027"
