UT	AU	TI	PY	DI	study_number	coder	main_finding_short	main_finding_long	finding_in_abstract	coding_rule	is_replication	is_exploratory	coder_comments
WOS:000404963900034	"Yamawaki, R; Nakamura, K; Aso, T; Shigemune, Y; Fukuyama, H; Tsukiura, T"	Remembering my friends: Medial prefrontal and hippocampal contributions to the self-reference effect on face memories in a social context	2017	10.1002/hbm.23662	1								
WOS:000351526400012	"Aube, W; Angulo-Perkins, A; Peretz, I; Concha, L; Armony, JL"	"Fear across the senses: brain responses to music, vocalizations and facial expressions"	2015	10.1093/scan/nsu067	1								
WOS:000265895400004	"Volz, KG; Kessler, T; von Cramon, DY"	In-group as part of the self: In-group favoritism is mediated by medial prefrontal cortex activation	2009	10.1080/17470910802553565	1								
WOS:000306950200196	"Canessa, N; Alemanno, F; Riva, F; Zani, A; Proverbio, AM; Mannara, N; Perani, D; Cappa, SF"	The Neural Bases of Social Intention Understanding: The Role of Interaction Goals	2012	10.1371/journal.pone.0042347	1								
WOS:000441662800005	"Butler, EE; Ward, R; Downing, PE; Ramsey, R"	fMRI repetition suppression reveals no sensitivity to trait judgments from faces in face perception or theory-of-mind networks	2018	10.1371/journal.pone.0201237	1								
WOS:000427411700001	"Sung, YW; Kawachi, Y; Choi, US; Kang, D; Abe, C; Otomo, Y; Ogawa, S"	A Set of Functional Brain Networks for the Comprehensive Evaluation of Human Characteristics	2018	10.3389/fnins.2018.00149	1								
WOS:000344398900025	"Scheele, D; Striepens, N; Kendrick, KM; Schwering, C; Noelle, J; Wille, A; Schlapfer, TE; Maier, W; Hurlemann, R"	Opposing Effects of Oxytocin on Moral judgment in Males and Females	2014	10.1002/hbm.22605	2								
WOS:000333027900035	"Watanabe, T; Takezawa, M; Nakawake, Y; Kunimatsu, A; Yamasue, H; Nakamura, M; Miyashita, Y; Masuda, N"	Two distinct neural mechanisms underlying indirect reciprocity	2014	10.1073/pnas.1318570111	2								
WOS:000444321800001	"Guan, F; Xiang, YH; Chen, OT; Wang, WX; Chen, J"	Neural Basis of Dispositional Awe	2018	10.3389/fnbeh.2018.00209	1								
WOS:000361145000014	"Maier, SU; Makwana, AB; Hare, TA"	Acute Stress Impairs Self-Control in Goal-Directed Choice by Altering Multiple Functional Connections within the Brain's Decision Circuits	2015	10.1016/j.neuron.2015.07.005	1								
WOS:000321622600022	"Tamber-Rosenau, BJ; Dux, PE; Tombu, MN; Asplund, CL; Marois, R"	Amodal Processing in Human Prefrontal Cortex	2013	10.1523/JNEUROSCI.4601-12.2013	4								
WOS:000302202800018	"Muscatell, KA; Morelli, SA; Falk, EB; Way, BM; Pfeifer, JH; Galinsky, AD; Lieberman, MD; Dapretto, M; Eisenberger, NI"	Social status modulates neural activity in the mentalizing network	2012	10.1016/j.neuroimage.2012.01.080	2								
WOS:000375476800014	"Bockler, A; Eskenazi, T; Sebanz, N; Rueschemeyer, SA"	(How) observed eye-contact modulates gaze following. An fMRI study	2016	10.1080/17588928.2015.1053442	1								
WOS:000268698700029	"Sugiura, M; Wakusawa, K; Sekiguchi, A; Sassa, Y; Jeong, H; Horie, K; Sato, S; Kawashima, R"	Extraction of Situational Meaning by Integrating Multiple Meanings in a Complex Environment: A Functional MRI Study	2009	10.1002/hbm.20699	1								
WOS:000311107800006	"Kipman, M; Weber, M; Schwab, ZJ; DelDonno, SR; Killgore, WDS"	A funny thing happened on the way to the scanner: humor detection correlates with gray matter volume	2012	10.1097/WNR.0b013e32835ad307	1								
WOS:000440353100003	"Zhang, PW; Qu, XJ; Qian, SF; Wang, XB; Wang, RD; Li, QY; Liu, SY; Chen, LH; Liu, DQ"	Distinction Between Variability-Based Modulation and Mean-Based Activation Revealed by BOLD-fMRI and Eyes-Open/Eyes-Closed Contrast	2018	10.3389/fnins.2018.00516	1								
WOS:000329196400001	"Wright, MJ; Bishop, DT; Jackson, RC; Abernethy, B"	Brain regions concerned with the identification of deceptive soccer moves by higher-skilled and lower-skilled players	2013	10.3389/fnhum.2013.00851	1								
WOS:000424804400027	"Arioli, M; Perani, D; Cappa, S; Proverbio, AM; Zani, A; Falini, A; Canessa, N"	Affective and cooperative social interactions modulate effective connectivity within and between the mirror and mentalizing systems	2018	10.1002/hbm.23930	1								
WOS:000290649300060	NA	NA	NA	10.1016/j.neuroimage.2011.03.009	2								
WOS:000294513100003	"Mayberry, RI; Chen, JK; Witcher, P; Klein, D"	Age of acquisition effects on the functional organization of language in the adult brain	2011	10.1016/j.bandl.2011.05.007	1								
WOS:000370623400003	"Yanagisawa, K; Abe, N; Kashima, ES; Nomura, M"	Self-Esteem Modulates Amygdala-Ventrolateral Prefrontal Cortex Connectivity in Response to Mortality Threats	2016	10.1037/xge0000121	1								
WOS:000293950300027	"Wang, Y; Ramsey, R; Hamilton, AFD"	The Control of Mimicry by Eye Contact Is Mediated by Medial Prefrontal Cortex	2011	10.1523/JNEUROSCI.0845-11.2011	1								
WOS:000403676400023	"Wagels, L; Bergs, R; Clemens, B; Bauchmuller, M; Gur, RC; Schneider, F; Habel, U; Kohn, N"	Contextual exclusion processing: an fMRI study of rejection in a performance-related context	2017	10.1007/s11682-016-9561-2	1								
WOS:000376655100009	"Davis, FC; Neta, M; Kim, MJ; Moran, JM; Whalen, PJ"	Interpreting ambiguous social cues in unpredictable contexts	2016	10.1093/scan/nsw003	1								
WOS:000305920600019	"Cribben, I; Haraldsdottir, R; Atlas, LY; Wager, TD; Lindquist, MA"	Dynamic connectivity regression: Determining state-related changes in brain connectivity	2012	10.1016/j.neuroimage.2012.03.070	1								
WOS:000323454700003	"Mende-Siedlecki, P; Cai, Y; Todorov, A"	The neural dynamics of updating person impressions	2013	10.1093/scan/nss040	1								
WOS:000342986700024	"Stern, ER; Gonzalez, R; Welsh, RC; Taylor, SF"	Medial frontal cortex and anterior insula are less sensitive to outcome predictability when monetary stakes are higher	2014	10.1093/scan/nst154	1								
WOS:000315580100004	"Neta, M; Kelley, WM; Whalen, PJ"	Neural Responses to Ambiguity Involve Domain-general and Domain-specific Emotion Processing Systems	2013	10.1162/jocn_a_00363	1								
WOS:000393723600011	"Cohen, D; Perry, A; Gilam, G; Mayseless, N; Gonen, T; Hendler, T; Shamay-Tsoory, SG"	The role of oxytocin in modulating interpersonal space: A pharmacological fMRI study	2017	10.1016/j.psyneuen.2016.10.021	1								
WOS:000263815300007	"Chiao, JY; Harada, T; Oby, ER; Li, Z; Parrish, T; Bridge, DJ"	Neural representations of social status hierarchy in human inferior parietal cortex	2009	10.1016/j.neuropsychologia.2008.09.023	1								
WOS:000303272300016	"Yang, JF; Wang, XJ; Shu, H; Zevin, JD"	Task by stimulus interactions in brain responses during Chinese character processing	2012	10.1016/j.neuroimage.2012.01.036	1								
WOS:000381523000003	"Zaki, J; Kallman, S; Wimmer, GE; Ochsner, K; Shohamy, D"	Social Cognition as Reinforcement Learning: Feedback Modulates Emotion Inference	2016	10.1162/jocn_a_00978	1								
WOS:000358252000018	"Igelstrom, KM; Webb, TW; Graziano, MSA"	Neural Processes in the Human Temporoparietal Cortex Separated by Localized Independent Component Analysis	2015	10.1523/JNEUROSCI.0551-15.2015	1								
WOS:000432871200001	"Lin, JB; Cui, X; Dai, XY; Mo, L"	Regional Homogeneity Predicts Creative Insight: A Resting-State fMRI Study	2018	10.3389/fnhum.2018.00210	1								
WOS:000264696300019	"Meda, SA; Calhoun, VD; Astur, RS; Turner, BM; Ruopp, K; Pearlson, GD"	Alcohol Dose Effects on Brain Circuits During Simulated Driving: An fMRI Study	2009	10.1002/hbm.20591	1								
WOS:000373485000001	"Dong, SY; Kim, BK; Lee, SY"	Implicit agreeing/disagreeing intention while reading self-relevant sentences: A human fMRI study	2016	10.1080/17470919.2015.1059362	1								
WOS:000419926100001	"Shen, FT; Hu, Y; Fan, MX; Wang, HM; Wang, ZX"	Racial Bias in Neural Response for Pain Is Modulated by Minimal Group	2018	10.3389/fnhum.2017.00661	1								
WOS:000350740900035	"Kahnt, T; Weber, SC; Haker, H; Robbins, TW; Tobler, PN"	Dopamine D2-Receptor Blockade Enhances Decoding of Prefrontal Signals in Humans	2015	10.1523/JNEUROSCI.4182-14.2015	1								
WOS:000302974100005	"Uchiyama, HT; Saito, DN; Tanabe, HC; Harada, T; Seki, A; Ohno, K; Koeda, T; Sadato, N"	Distinction between the literal and intended meanings of sentences: A functional magnetic resonance imaging study of metaphor and sarcasm	2012	10.1016/j.cortex.2011.01.004	1								
WOS:000415969300004	"Haas, IJ; Baker, MN; Gonzalez, FJ"	Who Can Deviate from the Party Line? Political Ideology Moderates Evaluation of Incongruent Policy Positions in Insula and Anterior Cingulate Cortex	2017	10.1007/s11211-017-0295-0	1								
WOS:000271245500010	"DeYoung, CG; Shamosh, NA; Green, AE; Braver, TS; Gray, JR"	Intellect as Distinct From Openness: Differences Revealed by fMRI of Working Memory	2009	10.1037/a0016615	1								
WOS:000312881300026	"Sambataro, F; Fazio, L; Taurisano, P; Gelao, B; Porcelli, A; Mancini, M; Sinibaldi, L; Ursini, G; Masellis, R; Caforio, G; Di Giorgio, A; Niccoli-Asabella, A; Popolizio, T; Blasi, G; Bertolino, A"	DRD2 Genotype-Based Variation of Default Mode Network Activity and of Its Relationship With Striatal DAT Binding	2013	10.1093/schbul/sbr128	1								
WOS:000341231500103	"Ma, HF; Hu, JH; Xi, J; Shen, W; Ge, JQ; Geng, F; Wu, YT; Guo, JJ; Yao, DZ"	Bilingual Cognitive Control in Language Switching: An fMRI Study of English-Chinese Late Bilinguals	2014	10.1371/journal.pone.0106468	1								
WOS:000268429400001	"Osaka, N; Osaka, M"	Gaze-related mimic word activates the frontal eye field and related network in the human brain: An fMRI study	2009	10.1016/j.neulet.2009.06.023	1								
WOS:000404548900004	"Reicherts, P; Wiemer, J; Gerdes, ABM; Schulz, SM; Pauli, P; Wieser, MJ"	Anxious anticipation and pain: the influence of instructed vs conditioned threat on pain	2017	10.1093/scan/nsw181	1								
WOS:000369150500001	"Stephanou, K; Davey, CG; Kerestes, R; Whittle, S; Pujol, J; Yucel, M; Fornito, A; Lopez-Sola, M; Harrison, BJ"	Brain Functional Correlates of Emotion Regulation Across Adolescence and Young Adulthood	2016	10.1002/hbm.22905	1								
WOS:000316702300001	"Sekiguchi, A; Sugiura, M; Yokoyama, S; Sassa, Y; Horie, K; Sato, S; Kawashima, R"	Neural correlates of adaptive social responses to real-life frustrating situations: a functional MRI study	2013	10.1186/1471-2202-14-29	1								
WOS:000326953700045	"Cross, KA; Torrisi, S; Losin, EAR; Iacoboni, M"	Controlling automatic imitative tendencies: Interactions between mirror neuron and cognitive control systems	2013	10.1016/j.neuroimage.2013.06.060	1								
WOS:000426430800009	"Jung, YS; Kim, YT; Baeck, JS; Lee, J; Kim, JG; Chang, Y"	The Neural Correlates of Celebrity Power on Product Favorableness: An fMRI Study	2018	10.14704/nq.2018.16.2.1092	1								
WOS:000285486000093	"Ruz, M; Tudela, P"	Emotional conflict in interpersonal interactions	2011	10.1016/j.neuroimage.2010.08.039	1								
WOS:000348928300001	"Plitt, M; Savjani, RR; Eagleman, DM"	Are corporations people too? The neural correlates of moral judgments about companies and individuals	2015	10.1080/17470919.2014.978026	1								
WOS:000292489600006	"Karremans, JC; Heslenfeld, DJ; van Dillen, LF; Van Lange, PAM"	Secure attachment partners attenuate neural responses to social exclusion: An fMRI investigation	2011	10.1016/j.ijpsycho.2011.04.003	1								
WOS:000350105900019	"Smith, DV; Clithero, JA; Boltuck, SE; Huettel, SA"	Functional connectivity with ventromedial prefrontal cortex reflects subjective value for social rewards	2014	10.1093/scan/nsu005	1								
WOS:000349702400001	"Jiang, WX; Liu, HS; Zeng, LL; Liao, J; Shen, H; Luo, AJ; Hu, DW; Wang, W"	Decoding the processing of lying using functional connectivity MRI	2015	10.1186/s12993-014-0046-4	1								
WOS:000397982600001	"Yusa, N; Kim, J; Koizumi, M; Sugiura, M; Kawashima, R"	Social Interaction Affects Neural Outcomes of Sign Language Learning As a Foreign Language in Adults	2017	10.3389/fnhum.2017.00115	1								
WOS:000360592900028	"Inagaki, TK; Muscatell, KA; Irwin, MR; Moieni, M; Dutcher, JM; Jevtic, I; Breen, EC; Eisenberger, NL"	The role of the ventral striatum in inflammatory-induced approach toward support figures	2015	10.1016/j.bbi.2014.10.006	1								
WOS:000441276600010	"Di Plinio, S; Ferri, F; Marzetti, L; Romani, GL; Northoff, G; Pizzella, V"	Functional connections between activated and deactivated brain regions mediate emotional interference during externally directed cognition	2018	10.1002/hbm.24197	1								
WOS:000288275800006	"Nicolle, A; Bach, DR; Frith, C; Dolan, RJ"	Amygdala involvement in self-blame regret	2011	10.1080/17470919.2010.506128	1								
WOS:000359177800006	"Bereczkei, T; Papp, P; Kincses, P; Bodrogi, B; Perlaki, G; Orsi, G; Deak, A"	The neural basis of the Machiavellians' decision making in fair and unfair situations	2015	10.1016/j.bandc.2015.05.006	1								
WOS:000208863700015	"Kret, ME; Pichon, S; Grezes, J; de Gelder, B"	Men fear other men most: gender specific brain activations in perceiving threat from dynamic faces and bodies - an fMRI study	2011	10.3389/fpsyg.2011.00003	1								
WOS:000388365000006	"Cukur, T; Huth, AG; Nishimoto, S; Gallant, JL"	"Functional Subdomains within Scene-Selective Cortex: Parahippocampal Place Area, Retrosplenial Complex, and Occipital Place Area"	2016	10.1523/JNEUROSCI.4033-14.2016	1								
WOS:000319330200122	"Diersch, N; Mueller, K; Cross, ES; Stadler, W; Rieger, M; Schutz-Bosbach, S"	Action Prediction in Younger versus Older Adults: Neural Correlates of Motor Familiarity	2013	10.1371/journal.pone.0064195	1								
WOS:000342985600015	"Ma, YN; Wang, CB; Li, BF; Zhang, WX; Rao, Y; Han, SH"	Does self-construal predict activity in the social brain network? A genetic moderation effect	2014	10.1093/scan/nst125	1								
WOS:000281715500005	"Harel, A; Gilaie-Dotan, S; Malach, R; Bentin, S"	Top-Down Engagement Modulates the Neural Expressions of Visual Expertise	2010	10.1093/cercor/bhp316	1								
WOS:000317166800017	"Tusche, A; Kahnt, T; Wisniewski, D; Haynes, JD"	Automatic processing of political preferences in the human brain	2013	10.1016/j.neuroimage.2013.01.020	1								
WOS:000434384900066	"Spaans, JP; Burke, SM; Altikulac, S; Braams, BR; Op de Macks, ZA; Crone, EA"	Win for your kin: Neural responses to personal and vicarious rewards when mothers win for their adolescent children	2018	10.1371/journal.pone.0198663	1								
WOS:000307369000079	"Podell, JE; Sambataro, F; Murty, VP; Emery, MR; Tong, YX; Das, S; Goldberg, TE; Weinberger, DR; Mattay, VS"	Neurophysiological correlates of age-related changes in working memory updating	2012	10.1016/j.neuroimage.2012.05.066	1								
WOS:000366801300001	"Beldzik, E; Domagalik, A; Oginska, H; Marek, T; Fafrowicz, M"	Brain Activations Related to Saccadic Response Conflict are not Sensitive to Time on Task	2015	10.3389/fnhum.2015.00664	1								
WOS:000413223700001	"Repple, J; Pawliczek, CM; Voss, B; Siegel, S; Schneider, F; Kohn, N; Habel, U"	From provocation to aggression: the neural network	2017	10.1186/s12868-017-0390-z	1								
WOS:000336191200006	"Shi, YQ; Meindl, T; Szameitat, AJ; Muller, HJ; Schubert, T"	Task preparation and neural activation in stimulus-specific brain regions: An fMRI study with the cued task-switching paradigm	2014	10.1016/j.bandc.2014.03.001	NA								
WOS:000429278800001	"Jacob, Y; Gilam, G; Lin, T; Raz, G; Hendler, T"	Anger Modulates Influence Hierarchies Within and Between Emotional Reactivity and Regulation Networks	2018	10.3389/fnbeh.2018.00060	1								
WOS:000418987100016	"Fischmeister, FP; Martins, MJD; Beisteiner, R; Fitch, WT"	Self-similarity and recursion as default modes in human cognition	2017	10.1016/j.cortex.2016.08.016	1								
WOS:000264387100007	"Fullam, RS; Mckie, S; Dolan, MC"	Psychopathic traits and deception: functional magnetic resonance imaging study	2009	10.1192/bjp.bp.108.053199	1								
WOS:000264790600015	"Weber, B; Rangel, A; Wibral, M; Falk, A"	The medial prefrontal cortex exhibits money illusion	2009	10.1073/pnas.0901490106	1								
WOS:000331286900001	"Cassidy, BS; Hedden, T; Yoon, C; Gutchess, AH"	Age differences in medial prefrontal activity for subsequent memory of truth value	2014	10.3389/fpsyg.2014.00087	1								
WOS:000270741300003	"Tesink, CMJY; Petersson, KM; van Berkum, JJA; van den Brink, D; Buitelaar, JK; Hagoort, P"	Unification of Speaker and Meaning in Language Comprehension: An fMRI Study	2009	10.1162/jocn.2008.21161	1								
WOS:000305859300047	"Zaki, J; Davis, JI; Ochsner, KN"	Overlapping activity in anterior insula during interoception and emotional experience	2012	10.1016/j.neuroimage.2012.05.012	1								
WOS:000365750400003	"Cardin, V; Orfanidou, E; Kastner, L; Ronnberg, J; Woll, B; Capek, CM; Rudner, M"	Monitoring Different Phonological Parameters of Sign Language Engages the Same Cortical Language Network but Distinctive Perceptual Ones	2016	10.1162/jocn_a_00872	1								
