UT	AU	TI	PY	DI	study_number	coder	main_finding_short	main_finding_long	finding_in_abstract	coding_rule	is_replication	is_exploratory	coder_comments
WOS:000333627800016	"Mason, M; Magee, JC; Fiske, ST"	Neural Substrates of Social Status Inference: Roles of Medial Prefrontal Cortex and Superior Temporal Sulcus	2014	10.1162/jocn_a_00553	1								
WOS:000374543600007	"Emmerling, F; Schuhmann, T; Lobbestael, J; Arntz, A; Brugman, S; Sack, AT"	The Role of the Insular Cortex in Retaliation	2016	10.1371/journal.pone.0152000	1								
WOS:000393136700001	"Liu, ZY; Li, L; Zheng, L; Xu, M; Zhou, FA; Guo, XY"	Attentional deployment impacts neural response to regret	2017	10.1038/srep41374	1								
WOS:000356272800006	"Wang, TT; Mo, L; Mo, C; Tan, LH; Cant, JS; Zhong, LJ; Cupchik, G"	Is moral beauty different from facial beauty? Evidence from an fMRI study	2015	10.1093/scan/nsu123	1								
WOS:000345624800001	"Woo, CW; Koban, L; Kross, E; Lindquist, MA; Banich, MT; Ruzic, L; Andrews-Hanna, JR; Wager, TD"	Separate neural representations for physical pain and social rejection	2014	10.1038/ncomms6380	2								
WOS:000397403300001	"Berens, SC; Bird, CM"	The Role of the Hippocampus in Generalizing Configural Relationships	2017	10.1002/hipo.22688	1								
WOS:000369415600001	"Suzuki, A; Ito, Y; Kiyama, S; Kunimi, M; Ohira, H; Kawaguchi, J; Tanabe, HC; Nakai, T"	Involvement of the Ventrolateral Prefrontal Cortex in Learning Others' Bad Reputations and Indelible Distrust	2016	10.3389/fnhum.2016.00028	1								
WOS:000405696600001	"Oosterwijk, S; Snoek, L; Rotteveel, M; Barrett, LF; Scholte, HS"	Shared states: using MVPA to test neural overlap between self-focused emotion imagery and other-focused emotion understanding	2017	10.1093/scan/nsx037	1								
WOS:000360263400001	"Guterstam, A; Bjornsdotter, M; Bergouignan, L; Gentile, G; Li, TQ; Ehrsson, HH"	Decoding illusory self-location from activity in the human hippocampus	2015	10.3389/fnhum.2015.00412	1								
WOS:000301295300032	"Spunt, RP; Lieberman, MD"	Dissociating Modality-Specific and Supramodal Neural Systems for Action Understanding	2012	10.1523/JNEUROSCI.5715-11.2012	1								
