UT,Label,Period,tcs,mcs,mncs,mnjs,tncs,pp_top_perc,pp_uncited,prop_self_cits,int_cov
000390849700005,WOS:000390849700005,2000-2018,7,7,122%,122%,122%,0%,0%,50%,88%
000390849700006,WOS:000390849700006,2000-2018,4,4,64%,56%,64%,0%,0%,33%,95%
000390849700007,WOS:000390849700007,2000-2018,4,4,58%,58%,58%,0%,0%,0%,92%
000390849700008,WOS:000390849700008,2000-2018,5,5,82%,119%,82%,0%,0%,29%,90%
000390849700009,WOS:000390849700009,2000-2018,2,2,60%,60%,60%,0%,0%,75%,92%
000390974600010,WOS:000390974600010,2000-2018,8,8,174%,115%,174%,0%,0%,11%,100%
000390976200004,WOS:000390976200004,2000-2018,32,32,367%,169%,367%,100%,0%,20%,91%
000390976200007,WOS:000390976200007,2000-2018,17,17,195%,169%,195%,30%,0%,41%,82%
000390982800020,WOS:000390982800020,2000-2018,2,2,34%,103%,34%,0%,0%,33%,89%
000391025300001,WOS:000391025300001,2000-2018,18,18,230%,88%,230%,100%,0%,25%,96%
000391125100005,WOS:000391125100005,2000-2018,0,0,0%,0%,0%,0%,100%,NULL,91%
000391139500016,WOS:000391139500016,2000-2018,17,17,219%,266%,219%,100%,0%,23%,94%
000391139500021,WOS:000391139500021,2000-2018,17,17,164%,215%,164%,0%,0%,19%,94%
000391140400011,WOS:000391140400011,2000-2018,3,3,53%,279%,53%,0%,0%,50%,81%
000391243200005,WOS:000391243200005,2000-2018,14,14,416%,416%,416%,100%,0%,36%,92%
000391243200006,WOS:000391243200006,2000-2018,1,1,30%,152%,30%,0%,0%,0%,87%
000391309200001,WOS:000391309200001,2000-2018,1,1,11%,63%,11%,0%,0%,50%,88%
000391383500001,WOS:000391383500001,2000-2018,36,36,868%,133%,868%,100%,0%,12%,97%
000391432100033,WOS:000391432100033,2000-2018,6,6,42%,42%,42%,0%,0%,0%,93%
000391563700001,WOS:000391563700001,2000-2018,12,12,137%,63%,137%,0%,0%,0%,97%
000391585700001,WOS:000391585700001,2000-2018,2,2,43%,67%,43%,0%,0%,75%,73%
000391641500077,WOS:000391641500077,2000-2018,6,6,110%,88%,110%,0%,0%,14%,86%
000391654600001,WOS:000391654600001,2000-2018,2,2,16%,16%,16%,0%,0%,60%,63%
000391655400003,WOS:000391655400003,2000-2018,0,0,0%,0%,0%,0%,100%,NULL,57%
000391925700012,WOS:000391925700012,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000391926400022,WOS:000391926400022,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000391949500066,WOS:000391949500066,2000-2018,4,4,108%,91%,108%,0%,0%,33%,92%
000392133200001,WOS:000392133200001,2000-2018,17,17,179%,142%,179%,0%,0%,19%,81%
000392159000001,WOS:000392159000001,2000-2018,12,12,137%,54%,137%,0%,0%,0%,96%
000392229900001,WOS:000392229900001,2000-2018,4,4,86%,148%,86%,0%,0%,0%,98%
000392238200003,WOS:000392238200003,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000392292100032,WOS:000392292100032,2000-2018,0,0,0%,0%,0%,0%,100%,100%,97%
000392303100006,WOS:000392303100006,2000-2018,0,0,0%,16%,0%,0%,100%,100%,83%
000392366300002,WOS:000392366300002,2000-2018,9,9,324%,180%,324%,100%,0%,0%,94%
000392374500001,WOS:000392374500001,2000-2018,3,3,96%,62%,96%,0%,0%,0%,98%
000392457400005,WOS:000392457400005,2000-2018,0,0,0%,178%,0%,0%,100%,NULL,60%
000392499200007,WOS:000392499200007,2000-2018,0,0,0%,0%,0%,0%,100%,NULL,95%
000392663100001,WOS:000392663100001,2000-2018,3,3,47%,49%,47%,0%,0%,25%,88%
000392674600012,WOS:000392674600012,2000-2018,17,17,362%,90%,362%,100%,0%,19%,86%
000392677600006,WOS:000392677600006,2000-2018,3,3,58%,64%,58%,0%,0%,25%,92%
000392712000005,WOS:000392712000005,2000-2018,6,6,47%,21%,47%,0%,0%,14%,95%
000392775500006,WOS:000392775500006,2000-2018,1,1,32%,69%,32%,0%,0%,0%,81%
000392816700005,WOS:000392816700005,2000-2018,4,4,73%,81%,73%,0%,0%,0%,89%
000392848400001,WOS:000392848400001,2000-2018,7,7,141%,141%,141%,0%,0%,30%,92%
000392973800001,WOS:000392973800001,2000-2018,0,0,0%,0%,0%,0%,100%,NULL,80%
000392983500001,WOS:000392983500001,2000-2018,8,8,170%,67%,170%,0%,0%,11%,88%
000393020500027,WOS:000393020500027,2000-2018,4,4,92%,92%,92%,0%,0%,0%,81%
000393048700017,WOS:000393048700017,2000-2018,1,1,8%,75%,8%,0%,0%,83%,91%
000393136700001,WOS:000393136700001,2000-2018,1,1,16%,49%,16%,0%,0%,83%,97%
000393158500001,WOS:000393158500001,2000-2018,2,2,43%,76%,43%,0%,0%,0%,89%
000393163600001,WOS:000393163600001,2000-2018,1,1,32%,62%,32%,0%,0%,80%,90%
000393176800011,WOS:000393176800011,2000-2018,3,3,64%,64%,64%,0%,0%,0%,84%
000393241400006,WOS:000393241400006,2000-2018,4,4,85%,167%,85%,0%,0%,0%,85%
000393244100037,WOS:000393244100037,2000-2018,3,3,34%,75%,34%,0%,0%,25%,88%
000393348900004,WOS:000393348900004,2000-2018,4,4,48%,84%,48%,0%,0%,56%,98%
000393401000053,WOS:000393401000053,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000393446300012,WOS:000393446300012,2000-2018,21,21,486%,289%,486%,100%,0%,16%,91%
000393505800001,WOS:000393505800001,2000-2018,11,11,156%,118%,156%,0%,0%,52%,93%
000393510800001,WOS:000393510800001,2000-2018,12,12,458%,394%,458%,100%,0%,0%,90%
000393525500021,WOS:000393525500021,2000-2018,10,10,252%,252%,252%,100%,0%,0%,90%
000393563900012,WOS:000393563900012,2000-2018,11,11,297%,230%,297%,100%,0%,31%,96%
000393563900021,WOS:000393563900021,2000-2018,8,8,125%,164%,125%,0%,0%,20%,98%
000393572400010,WOS:000393572400010,2000-2018,11,11,172%,164%,172%,0%,0%,15%,98%
000393723600011,WOS:000393723600011,2000-2018,5,5,67%,77%,67%,0%,0%,38%,93%
000393723900004,WOS:000393723900004,2000-2018,4,4,85%,56%,85%,0%,0%,0%,95%
000393723900015,WOS:000393723900015,2000-2018,7,7,252%,144%,252%,84%,0%,36%,96%
000393731400005,WOS:000393731400005,2000-2018,1,1,16%,54%,16%,0%,0%,0%,77%
000393771700013,WOS:000393771700013,2000-2018,1,1,24%,110%,24%,0%,0%,0%,92%
000393772800004,WOS:000393772800004,2000-2018,3,3,106%,71%,106%,0%,0%,40%,89%
000393772800014,WOS:000393772800014,2000-2018,2,2,54%,103%,54%,0%,0%,33%,96%
000393786500017,WOS:000393786500017,2000-2018,6,6,69%,99%,69%,0%,0%,14%,88%
000393786500030,WOS:000393786500030,2000-2018,5,5,180%,126%,180%,0%,0%,17%,86%
000393786500038,WOS:000393786500038,2000-2018,9,9,378%,378%,378%,100%,0%,59%,87%
000393802500001,WOS:000393802500001,2000-2018,8,8,179%,184%,179%,0%,0%,27%,92%
000393937700009,WOS:000393937700009,2000-2018,210,210,2406%,1816%,2406%,100%,0%,4%,90%
000393943500001,WOS:000393943500001,2000-2018,1,1,16%,39%,16%,0%,0%,0%,98%
000394276400016,WOS:000394276400016,2000-2018,0,0,0%,0%,0%,0%,100%,100%,88%
000394507100005,WOS:000394507100005,2000-2018,21,21,366%,187%,366%,100%,0%,9%,80%
000394532200001,WOS:000394532200001,2000-2018,15,15,172%,63%,172%,0%,0%,17%,97%
000394560600003,WOS:000394560600003,2000-2018,7,7,202%,157%,202%,0%,0%,63%,89%
000394560600018,WOS:000394560600018,2000-2018,7,7,149%,229%,149%,0%,0%,22%,92%
000394560600030,WOS:000394560600030,2000-2018,7,7,93%,150%,93%,0%,0%,0%,93%
000394560600037,WOS:000394560600037,2000-2018,11,11,237%,133%,237%,38%,0%,15%,90%
000394560600039,WOS:000394560600039,2000-2018,1,1,34%,199%,34%,0%,0%,75%,91%
000394560600044,WOS:000394560600044,2000-2018,12,12,160%,150%,160%,0%,0%,0%,96%
000394560600056,WOS:000394560600056,2000-2018,1,1,21%,229%,21%,0%,0%,0%,98%
000394560700082,WOS:000394560700082,2000-2018,4,4,142%,153%,142%,0%,0%,33%,96%
000394702700001,WOS:000394702700001,2000-2018,10,10,297%,97%,297%,100%,0%,9%,85%
000394739700001,WOS:000394739700001,2000-2018,7,7,281%,201%,281%,100%,0%,13%,92%
000394875200001,WOS:000394875200001,2000-2018,3,3,91%,76%,91%,0%,0%,25%,86%
000394932300004,WOS:000394932300004,2000-2018,8,8,181%,188%,181%,0%,0%,11%,99%
000394961500001,WOS:000394961500001,2000-2018,11,11,172%,49%,172%,0%,0%,27%,95%
000394988500016,WOS:000394988500016,2000-2018,6,6,94%,71%,94%,0%,0%,14%,85%
000395068900010,WOS:000395068900010,2000-2018,0,0,0%,50%,0%,0%,100%,NULL,97%
000395098000002,WOS:000395098000002,2000-2018,14,14,186%,70%,186%,0%,0%,26%,98%
000395098000003,WOS:000395098000003,2000-2018,12,12,137%,74%,137%,0%,0%,25%,96%
000395098000004,WOS:000395098000004,2000-2018,2,2,46%,46%,46%,0%,0%,60%,89%
000395098000005,WOS:000395098000005,2000-2018,4,4,53%,70%,53%,0%,0%,56%,91%
000395098000006,WOS:000395098000006,2000-2018,4,4,60%,60%,60%,0%,0%,20%,93%
000395098000007,WOS:000395098000007,2000-2018,8,8,216%,101%,216%,0%,0%,33%,96%
000395098000008,WOS:000395098000008,2000-2018,4,4,85%,55%,85%,0%,0%,0%,81%
000395098000009,WOS:000395098000009,2000-2018,6,6,129%,129%,129%,0%,0%,33%,86%
